model_name,prefix_key,mean_agreement,median_agreement,unanimous_frac,mean_confidence,n
llama-4-maverick-17b,cot_verification,0.7027434842249657,0.6666666666666666,0.12222222222222222,0.46990397805212614,2430
llama-4-maverick-17b,entity_aware,0.9779835390946502,1.0,0.9506172839506173,0.9703347050754458,2430
llama-4-maverick-17b,epistemic_humility,0.9543209876543209,1.0,0.8777777777777778,0.9602517146776407,2430
llama-4-maverick-17b,fact_grounded,0.9717304789350899,1.0,0.9271305063812268,0.9648744339234252,2429
llama-4-maverick-17b,no_prefix,0.9613854595336077,1.0,0.9061728395061729,0.9584636488340191,2430
llama-4-maverick-17b,structured_caution,0.9732510288065843,1.0,0.9353909465020576,0.9681502057613168,2430
mixtral-8x7b,cot_verification,0.7094650205761317,0.6666666666666666,0.14979423868312758,0.5021179698216734,2430
mixtral-8x7b,entity_aware,0.9644032921810699,1.0,0.9168724279835391,0.9670884773662551,2430
mixtral-8x7b,epistemic_humility,0.9532235939643348,1.0,0.8740740740740741,0.95419890260631,2430
mixtral-8x7b,fact_grounded,0.9541838134430727,1.0,0.8773662551440329,0.9582400548696846,2430
mixtral-8x7b,no_prefix,0.9438957475994513,1.0,0.8592592592592593,0.9514197530864197,2430
mixtral-8x7b,structured_caution,0.9554869684499315,1.0,0.8925925925925926,0.9625342935528122,2430
