method,category,year,venue,citations_approx,models_tested,benchmark,key_metric,key_result,comparability,comparability_justification,axis,arxiv_id,selection_criteria
SelfCheckGPT,detection,2023,EMNLP,600,GPT-3 (davinci-003),WikiBio,AUC-PR,0.78 sentence-level hallucination detection,Indirect,Detects in generated text; we predict from geometry pre-generation,detection,2303.08896,"citation>=100, quantitative, axis-relevant"
Semantic Entropy,detection,2024,Nature,773,"Falcon 7B/40B, LLaMA2 7B-70B, Mistral 7B","TriviaQA, SQuAD, BioASQ, NQ, SVAMP",AUROC/AURAC,Best across 5 QA datasets vs all baselines,Partial,Both use embedding-level features; they operate post-generation while we operate pre-generation,detection,s41586-024-07421-0,"citation>=100, top venue, quantitative"
P(True) / P(IK),detection,2022,arXiv (Anthropic),373,Anthropic LMs 800M-52B,"TriviaQA, BIG-Bench",Calibration / AUROC,P(True)>50% strongly predictive; scales with model size,Indirect,Self-evaluation; we use external geometry,detection,2207.05221,"citation>=100, conceptual proximity"
ITI,detection+mitigation,2023,NeurIPS,200+,"LLaMA, Alpaca",TruthfulQA,Truthfulness %,32.5% -> 65.1% truthfulness,Partial,Both work in embedding space; they modify activations at inference while we select training data via geometry,detection+mitigation,2306.03341,"top venue, quantitative, axis-relevant"
INSIDE / EigenScore,detection,2024,ICLR,100+,"LLaMA-7B/13B, OPT-6.7B","TriviaQA, NQ, CoQA, SQuAD",AUROC,"+5-24pp on SQuAD/CoQA; at parity on TriviaQA; +2-6pp on NQ",Partial,Closest conceptual kin — both use embedding-space properties. They: response covariance eigenvalues. Us: entity graph geometry,detection,2402.03744,"top venue, quantitative, conceptual proximity"
Lookback Lens,detection,2024,EMNLP,74,"LLaMA-2-7B/13B","XSum, NQ, CNN/DM",AUROC,0.914 test AUROC (NQ); 9.6% hallucination reduction (XSum),Indirect,Attention pattern analysis; we use entity geometry,detection,2407.07071,"top venue, quantitative"
FActScore,detection/evaluation,2023,EMNLP,869,"InstructGPT, ChatGPT, GPT-4, Vicuna, Alpaca",Biography generation (Wikipedia),FActScore %,ChatGPT 58% factual; <2% error vs human,Indirect,Evaluation metric not prediction. Our judge panel serves similar function,detection,2305.14251,"citation>=100, quantitative, widely used metric"
SAPLMA,detection,2023,Findings EMNLP,200+,"OPT-6.7B/13B, LLaMA-13B",Custom true/false 6 topics,Accuracy,71-83% true/false classification,Partial,Both analyze internal representations; they probe hidden states we analyze graph topology,detection,2304.13734,"citation>=100, quantitative, conceptual proximity"
Chain-of-Thought,prompt,2022,NeurIPS,14400,"PaLM-540B, LaMDA-137B, GPT-3","GSM8K, SVAMP, AQuA, StrategyQA",Accuracy,GSM8K: 17.9% -> 58.1% (+40.2pp),Partial,Our V4 tested prompt prefixes on entity hallucination (different domain). CoT primarily helps reasoning,prompt,2201.11903,"citation>=100, top venue, foundational"
Self-Consistency,prompt,2023,ICLR,3500,"PaLM-540B, GPT-3, LaMDA-137B, UL2-20B","GSM8K, SVAMP, AQuA, StrategyQA",Accuracy improvement,+17.9% over CoT on GSM8K,Indirect,Multi-sample voting; our prefixes are single-shot,prompt,2203.11171,"citation>=100, top venue, quantitative"
CoVe,prompt,2024,ACL Findings,308,LLaMA-65B,"Wikidata, MultiSpanQA, Biography (FactScore)",Hallucinated entities / FActScore,"Hallucinated: 2.95->0.68/response (two-step, Wikidata); FactScore: 55.9->71.4 (+15.5pp, factor+revise)",Partial,Both reduce entity-level hallucination. CoVe: multi-step self-verification. Us: single-shot prefix + FT,prompt,2309.11495,"quantitative, axis-relevant, conceptual proximity"
Self-Refine,prompt,2023,NeurIPS,2548,"GPT-3.5, ChatGPT, GPT-4",7 diverse tasks,Task performance,~20% absolute improvement avg across 7 tasks,Indirect,Iterative self-feedback; we target entity hallucination specifically,prompt,2303.17651,"citation>=100, top venue, quantitative"
AMA,prompt,2023,ICLR,252,"GPT-J-6B, BLOOM, OPT, T0",20 NLP benchmarks,Accuracy,+10.2% avg over few-shot; 6B matches 175B on 15/20 tasks,Indirect,Different mechanism (question reformulation + aggregation),prompt,2210.02441,"top venue, quantitative"
Self-Alignment for Factuality,prompt+FT,2024,ACL,50+,"LLaMA-7B, LLaMA2-7B","TruthfulQA, BioGEN",Accuracy / FActScore,TruthfulQA: +13% over base LLaMA-7B; BioGEN: +4% FActScore,Partial,Hybrid prompt+DPO. Our V4 is pure prompting; V5 is LoRA SFT,prompt+FT,2402.09267,"top venue, axis-relevant"
RECITE,prompt,2023,ICLR,200+,"PaLM-540B, UL2-20B, code-davinci-002","NQ, TriviaQA, HotpotQA",Accuracy,Comparable to BM25 retrieval on closed-book QA,Indirect,Closed-book alternative to RAG; different mechanism,prompt,2210.01296,"top venue, citation>=100"
R-Tuning,FT,2024,NAACL (Outstanding),120-180,"OpenLLaMA-3B, LLaMA-7B","ParaRel, MMLU + OOD",Average Precision,Significantly outperforms vanilla IT; refusal transfers as meta-skill,Direct,CLOSEST COMPARATOR. Both teach abstention on uncertain knowledge. R-Tuning: train-time probing. Us: geometry-guided selection,FT,2311.09677,"top venue award, axis-relevant, conceptual proximity, quantitative"
FactTune,FT,2024,ICLR,200+,Llama-2-7B-Chat,"Biography (FActScore), medical QA",Error reduction,"53% reduction in factual errors (biography); 50% (medical) — ICLR camera-ready; arXiv v1 had 58%/40%",Partial,Both FT for factuality. FactTune: DPO with auto preferences. Us: LoRA SFT with geometry-guided best-per-prompt,FT,2311.08401,"top venue, citation>=100, quantitative, axis-relevant"
InstructGPT / RLHF,FT,2022,NeurIPS,7000+,GPT-3 1.3B-175B,TruthfulQA,Truthfulness %,TruthfulQA: 21% -> 42%; hallucination 41% -> 21% (closed-domain),Indirect,General alignment not hallucination-specific,FT,2203.02155,"citation>=100, foundational, quantitative"
FLAME,FT,2024,NeurIPS,40-60,Llama-2-Chat-70B,"Biography (FActScore), AlpacaFact, FAVA",FActScore improvement,+5.6 FActScore over standard DPO; no instruction-following sacrifice,Partial,Both address SFT-on-novel-knowledge problem. FLAME filters by familiarity; we select by geometry+prefix effectiveness,FT,2405.01525,"top venue, axis-relevant, conceptual proximity"
Mask-DPO,FT,2025,ICLR,10-20,Llama-3.1-8B-Instruct,"ANAH, Biography (FActScore)",Accuracy / FActScore,ANAH: 49.19% -> 77.53% (+28.3pp); 8B surpasses 70B,Partial,Fine-grained factuality alignment via sentence-level DPO. Different mechanism from our LoRA SFT,FT,2503.02846,"top venue, quantitative, axis-relevant"
Constitutional AI,FT,2022,Anthropic,2500+,Anthropic internal,TruthfulQA + HHH,Truthfulness %,TruthfulQA ~58%. Primarily harmlessness; hallucination secondary,Indirect,General alignment,FT,2212.08073,"citation>=100, foundational"
Self-RAG,FT+retrieval,2024,ICLR,500+,"Llama-2-7B/13B","PopQA, TriviaQA, PubHealth, ARC",Accuracy / factuality,PopQA: 14.7% -> 55.8%; biography 80% factual,Indirect,Hybrid FT+retrieval. We operate closed-book,FT+retrieval,2310.11511,"citation>=100, top venue, quantitative"
