model_name,prefix_key,category,mean_agreement,unanimous_frac,n
llama-4-maverick-17b,cot_verification,ambiguous,0.6666666666666666,0.0,600
llama-4-maverick-17b,cot_verification,borderline_edge_factual,0.6666666666666666,0.0,130
llama-4-maverick-17b,cot_verification,borderline_obscure_real,0.6666666666666665,0.0,200
llama-4-maverick-17b,cot_verification,borderline_plausible_fake,0.6983333333333333,0.095,200
llama-4-maverick-17b,cot_verification,factual,0.8366666666666667,0.554,500
llama-4-maverick-17b,cot_verification,impossible,0.6666666666666665,0.0,200
llama-4-maverick-17b,cot_verification,nonexistent,0.6605555555555556,0.0016666666666666668,600
llama-4-maverick-17b,entity_aware,ambiguous,0.9455555555555556,0.8416666666666667,600
llama-4-maverick-17b,entity_aware,borderline_edge_factual,0.6564102564102564,0.0,130
llama-4-maverick-17b,entity_aware,borderline_obscure_real,0.6233333333333333,0.0,200
llama-4-maverick-17b,entity_aware,borderline_plausible_fake,0.655,0.0,200
llama-4-maverick-17b,entity_aware,factual,0.966,0.918,500
llama-4-maverick-17b,entity_aware,impossible,0.9766666666666667,0.945,200
llama-4-maverick-17b,entity_aware,nonexistent,0.9883333333333333,0.9733333333333334,600
llama-4-maverick-17b,epistemic_humility,ambiguous,0.9894444444444443,0.97,600
llama-4-maverick-17b,epistemic_humility,borderline_edge_factual,0.9846153846153847,0.9615384615384616,130
llama-4-maverick-17b,epistemic_humility,borderline_obscure_real,0.9383333333333332,0.855,200
llama-4-maverick-17b,epistemic_humility,borderline_plausible_fake,0.8533333333333333,0.58,200
llama-4-maverick-17b,epistemic_humility,factual,0.9613333333333334,0.896,500
llama-4-maverick-17b,epistemic_humility,impossible,0.94,0.845,200
llama-4-maverick-17b,epistemic_humility,nonexistent,0.95,0.8683333333333333,600
llama-4-maverick-17b,fact_grounded,ambiguous,0.9922222222222223,0.98,600
llama-4-maverick-17b,fact_grounded,borderline_edge_factual,0.9820512820512821,0.9615384615384616,130
llama-4-maverick-17b,fact_grounded,borderline_obscure_real,0.9183333333333333,0.79,200
llama-4-maverick-17b,fact_grounded,borderline_plausible_fake,0.9616666666666667,0.89,200
llama-4-maverick-17b,fact_grounded,factual,0.9586666666666667,0.894,500
llama-4-maverick-17b,fact_grounded,impossible,0.9616666666666667,0.91,200
llama-4-maverick-17b,fact_grounded,nonexistent,0.9844184752365053,0.9582637729549248,599
llama-4-maverick-17b,no_prefix,ambiguous,0.9766666666666667,0.9416666666666667,600
llama-4-maverick-17b,no_prefix,borderline_edge_factual,0.9871794871794872,0.9692307692307692,130
llama-4-maverick-17b,no_prefix,borderline_obscure_real,0.8216666666666668,0.545,200
llama-4-maverick-17b,no_prefix,borderline_plausible_fake,0.7316666666666666,0.23,200
llama-4-maverick-17b,no_prefix,factual,0.954,0.884,500
llama-4-maverick-17b,no_prefix,impossible,0.94,0.845,200
llama-4-maverick-17b,no_prefix,nonexistent,0.9716666666666667,0.925,600
llama-4-maverick-17b,structured_caution,ambiguous,0.9927777777777778,0.98,600
llama-4-maverick-17b,structured_caution,borderline_edge_factual,0.9923076923076923,0.9769230769230769,130
llama-4-maverick-17b,structured_caution,borderline_obscure_real,0.9366666666666668,0.83,200
llama-4-maverick-17b,structured_caution,borderline_plausible_fake,0.9533333333333333,0.88,200
llama-4-maverick-17b,structured_caution,factual,0.7106666666666667,0.206,500
llama-4-maverick-17b,structured_caution,impossible,0.9733333333333333,0.93,200
llama-4-maverick-17b,structured_caution,nonexistent,0.9816666666666667,0.9566666666666667,600
mixtral-8x7b,cot_verification,ambiguous,0.6666666666666666,0.0,600
mixtral-8x7b,cot_verification,borderline_edge_factual,0.6692307692307692,0.007692307692307693,130
mixtral-8x7b,cot_verification,borderline_obscure_real,0.6716666666666665,0.015,200
mixtral-8x7b,cot_verification,borderline_plausible_fake,0.6766666666666665,0.03,200
mixtral-8x7b,cot_verification,factual,0.8826666666666666,0.708,500
mixtral-8x7b,cot_verification,impossible,0.6666666666666665,0.0,200
mixtral-8x7b,cot_verification,nonexistent,0.6544444444444444,0.0,600
mixtral-8x7b,entity_aware,ambiguous,0.995,0.9883333333333333,600
mixtral-8x7b,entity_aware,borderline_edge_factual,0.6538461538461539,0.0,130
mixtral-8x7b,entity_aware,borderline_obscure_real,0.6366666666666666,0.095,200
mixtral-8x7b,entity_aware,borderline_plausible_fake,0.65,0.0,200
mixtral-8x7b,entity_aware,factual,0.912,0.782,500
mixtral-8x7b,entity_aware,impossible,0.9883333333333333,0.97,200
mixtral-8x7b,entity_aware,nonexistent,0.986111111111111,0.965,600
mixtral-8x7b,epistemic_humility,ambiguous,0.9944444444444444,0.9866666666666667,600
mixtral-8x7b,epistemic_humility,borderline_edge_factual,0.9769230769230769,0.9384615384615385,130
mixtral-8x7b,epistemic_humility,borderline_obscure_real,0.895,0.735,200
mixtral-8x7b,epistemic_humility,borderline_plausible_fake,0.9283333333333332,0.81,200
mixtral-8x7b,epistemic_humility,factual,0.9233333333333333,0.792,500
mixtral-8x7b,epistemic_humility,impossible,0.98,0.94,200
mixtral-8x7b,epistemic_humility,nonexistent,0.95,0.86,600
mixtral-8x7b,fact_grounded,ambiguous,0.9927777777777778,0.98,600
mixtral-8x7b,fact_grounded,borderline_edge_factual,0.9769230769230769,0.9307692307692308,130
mixtral-8x7b,fact_grounded,borderline_obscure_real,0.875,0.695,200
mixtral-8x7b,fact_grounded,borderline_plausible_fake,0.93,0.81,200
mixtral-8x7b,fact_grounded,factual,0.9273333333333333,0.81,500
mixtral-8x7b,fact_grounded,impossible,0.9833333333333333,0.955,200
mixtral-8x7b,fact_grounded,nonexistent,0.9577777777777777,0.8766666666666667,600
mixtral-8x7b,no_prefix,ambiguous,0.991111111111111,0.9733333333333334,600
mixtral-8x7b,no_prefix,borderline_edge_factual,0.9769230769230769,0.9384615384615385,130
mixtral-8x7b,no_prefix,borderline_obscure_real,0.7866666666666667,0.455,200
mixtral-8x7b,no_prefix,borderline_plausible_fake,0.6816666666666665,0.15,200
mixtral-8x7b,no_prefix,factual,0.922,0.802,500
mixtral-8x7b,no_prefix,impossible,0.9383333333333332,0.85,200
mixtral-8x7b,no_prefix,nonexistent,0.938888888888889,0.84,600
mixtral-8x7b,structured_caution,ambiguous,0.995,0.9866666666666667,600
mixtral-8x7b,structured_caution,borderline_edge_factual,0.9717948717948718,0.9153846153846154,130
mixtral-8x7b,structured_caution,borderline_obscure_real,0.8933333333333333,0.73,200
mixtral-8x7b,structured_caution,borderline_plausible_fake,0.95,0.86,200
mixtral-8x7b,structured_caution,factual,0.6106666666666666,0.012,500
mixtral-8x7b,structured_caution,impossible,0.9866666666666667,0.96,200
mixtral-8x7b,structured_caution,nonexistent,0.9638888888888889,0.9,600
