model_name,prefix_key,category,n_prompts,correct_rate,hallucination_rate,refusal_rate
llama-4-maverick-17b,cot_verification,ambiguous,600.0,0.0,0.0,1.0
llama-4-maverick-17b,cot_verification,borderline_edge_factual,130.0,0.0,0.0,1.0
llama-4-maverick-17b,cot_verification,borderline_obscure_real,200.0,0.0,0.0,1.0
llama-4-maverick-17b,cot_verification,borderline_plausible_fake,200.0,0.0,0.0,1.0
llama-4-maverick-17b,cot_verification,factual,500.0,0.95,0.024,0.002
llama-4-maverick-17b,cot_verification,impossible,200.0,0.0,0.0,1.0
llama-4-maverick-17b,cot_verification,nonexistent,600.0,0.4166666666666667,0.045,0.5383333333333333
llama-4-maverick-17b,entity_aware,ambiguous,600.0,0.99,0.01,0.0
llama-4-maverick-17b,entity_aware,borderline_edge_factual,130.0,0.9769230769230769,0.015384615384615385,0.0
llama-4-maverick-17b,entity_aware,borderline_obscure_real,200.0,0.945,0.04,0.005
llama-4-maverick-17b,entity_aware,borderline_plausible_fake,200.0,0.83,0.165,0.005
llama-4-maverick-17b,entity_aware,factual,500.0,0.95,0.026,0.0
llama-4-maverick-17b,entity_aware,impossible,200.0,0.945,0.045,0.0
llama-4-maverick-17b,entity_aware,nonexistent,600.0,0.965,0.03166666666666667,0.0
llama-4-maverick-17b,epistemic_humility,ambiguous,600.0,0.9933333333333333,0.0033333333333333335,0.0016666666666666668
llama-4-maverick-17b,epistemic_humility,borderline_edge_factual,130.0,0.9692307692307692,0.007692307692307693,0.0
llama-4-maverick-17b,epistemic_humility,borderline_obscure_real,200.0,0.915,0.04,0.02
llama-4-maverick-17b,epistemic_humility,borderline_plausible_fake,200.0,0.83,0.16,0.005
llama-4-maverick-17b,epistemic_humility,factual,500.0,0.926,0.018,0.026
llama-4-maverick-17b,epistemic_humility,impossible,200.0,0.905,0.09,0.0
llama-4-maverick-17b,epistemic_humility,nonexistent,600.0,0.9216666666666666,0.056666666666666664,0.018333333333333333
llama-4-maverick-17b,fact_grounded,ambiguous,600.0,0.99,0.008333333333333333,0.0
llama-4-maverick-17b,fact_grounded,borderline_edge_factual,130.0,0.9692307692307692,0.015384615384615385,0.0
